"Latitude (decimal degrees):	51.507",,,,,,,,,,,,,,,,,
"Longitude (decimal degrees):	0.135",,,,,,,,,,,,,,,,,
"Elevation (m):	3",,,,,,,,,,,,,,,,,
"Radiation database:	PVGIS-SARAH2",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Slope: 40 deg. (optimum),,,,,,,,,,,,,,,,,
Azimuth: -1 deg. (optimum),,,,,,,,,,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	150.0",,,,,,,,,,,,,,,,,
"System losses (%):	14.0",,,,,,,,,,,,,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int,,,,,,,,,,,
20130513:2010,0,0,0,9.63,5.38,0,,,,,,,,,,,
20130513:2110,0,0,0,8.98,5.03,0,,,,,,,,,,,
20130513:2210,0,0,0,8.23,4.62,0,,,,,,,,,,,
20130513:2310,0,0,0,7.7,4.41,0,,,,,,,,,,,
20130514:0010,0,0,0,7.2,4.07,0,,,,,,,,,,,
20130514:0110,0,0,0,6.91,3.93,0,,,,,,,,,,,
20130514:0210,0,0,0,6.64,3.72,0,,,,,,,,,,,
20130514:0310,0,0,0,6.41,3.52,0,,,,,,,,,,,
20130514:0410,0,0,0,6.21,3.31,0,,,,,,,,,,,
20130514:0510,3453,40.46,7.79,6.29,3.1,0,,,,,,,,,,,
20130514:0610,5445,57.14,16.81,7.21,3.03,0,,,,,,,,,,,
20130514:0710,22764,190.89,26.11,8.42,4.48,0,,,,,,,,,,,
20130514:0810,36961.5,297.03,35.32,9.29,4.76,0,,,,,,,,,,,
20130514:0910,35797.5,289.08,43.93,9.9,4.9,0,,,,,,,,,,,
20130514:1010,19530,166.89,51.19,10.3,4.97,0,,,,,,,,,,,
20130514:1110,34794,282.89,55.96,10.85,5.24,0,,,,,,,,,,,
20130514:1210,59017.5,467.03,56.99,10.76,5.86,0,,,,,,,,,,,
20130514:1310,49024.5,389.46,53.94,10.39,6,0,,,,,,,,,,,
20130514:1410,12543,113.38,47.75,9.74,5.66,0,,,,,,,,,,,
20130514:1510,26674.5,219.86,39.69,9.38,5.1,0,,,,,,,,,,,
20130514:1610,10902,100.68,30.7,9.26,4.14,0,,,,,,,,,,,
20130514:1710,4188,47.16,21.39,9.32,3.93,0,,,,,,,,,,,
20130514:1810,957,17.7,12.18,9.11,4.07,0,,,,,,,,,,,
20130514:1910,502.5,12.64,3.44,9.04,4.62,0,,,,,,,,,,,
20130514:2010,0,0,0,9.18,5.03,0,,,,,,,,,,,
20130514:2110,0,0,0,9.5,5.59,0,,,,,,,,,,,
20130514:2210,0,0,0,9.78,6.41,0,,,,,,,,,,,
20130514:2310,0,0,0,9.55,7.24,0,,,,,,,,,,,
20130515:0010,0,0,0,8.08,7.66,0,,,,,,,,,,,
20130515:0110,0,0,0,7.35,8.14,0,,,,,,,,,,,
20130515:0210,0,0,0,7.34,8.41,0,,,,,,,,,,,
20130515:0310,0,0,0,7.22,8.55,0,,,,,,,,,,,
20130515:0410,0,0,0,7.06,8.14,0,,,,,,,,,,,
20130515:0510,3544.5,41.3,7.97,6.98,7.66,0,,,,,,,,,,,
20130515:0610,14701.5,138.75,16.99,7.04,7.1,0,,,,,,,,,,,
20130515:0710,20656.5,173.37,26.29,7.57,8.21,0,,,,,,,,,,,
20130515:0810,33412.5,267.74,35.51,8.31,8.21,0,,,,,,,,,,,
20130515:0910,14310,126.07,44.13,8.55,7.45,0,,,,,,,,,,,
20130515:1010,11514,105.21,51.41,9.35,7.17,0,,,,,,,,,,,
20130515:1110,22528.5,188.66,56.19,9.67,6.76,0,,,,,,,,,,,
20130515:1210,49636.5,393.72,57.23,10.43,6.69,0,,,,,,,,,,,
20130515:1310,59263.5,468.57,54.16,10.83,6,0,,,,,,,,,,,
20130515:1410,38217,309.14,47.95,11.48,5.66,0,,,,,,,,,,,
20130515:1510,68781,547.13,39.87,12.63,5.17,0,,,,,,,,,,,
20130515:1610,37510.5,308.22,30.88,13.02,4.55,0,,,,,,,,,,,
20130515:1710,16905,150.53,21.57,12.23,3.52,0,,,,,,,,,,,
20130515:1810,2329.5,31.19,12.37,10.93,3.03,0,,,,,,,,,,,
20130515:1910,795,16.02,3.63,10.13,1.93,0,,,,,,,,,,,
20130515:2010,0,0,0,9.32,1.79,0,,,,,,,,,,,
20130515:2110,0,0,0,8.22,1.86,0,,,,,,,,,,,
20130515:2210,0,0,0,7.34,1.86,0,,,,,,,,,,,
20130515:2310,0,0,0,6.34,1.79,0,,,,,,,,,,,
20130516:0010,0,0,0,5.69,1.52,0,,,,,,,,,,,
20130516:0110,0,0,0,4.92,1.31,0,,,,,,,,,,,
20130516:0210,0,0,0,4.88,1.1,0,,,,,,,,,,,
20130516:0310,0,0,0,4.87,0.83,0,,,,,,,,,,,
20130516:0410,0,0,0,5.02,0.62,0,,,,,,,,,,,
20130516:0510,3280.5,38.77,8.16,4.47,0.62,0,,,,,,,,,,,
20130516:0610,12687,147.84,17.16,5.3,0.34,0,,,,,,,,,,,
20130516:0710,40357.5,335.89,26.47,7.3,0.69,0,,,,,,,,,,,
20130516:0810,72022.5,581.26,35.68,8.92,1.1,0,,,,,,,,,,,
20130516:0910,86823,708.8,44.32,10.72,1.38,0,,,,,,,,,,,
20130516:1010,88464,727.9,51.61,12.02,1.59,0,,,,,,,,,,,
20130516:1110,89151,735.95,56.42,13.13,1.93,0,,,,,,,,,,,
20130516:1210,65379,533.8,57.46,13.69,2.28,0,,,,,,,,,,,
20130516:1310,15606,139.68,54.38,13.87,2.34,0,,,,,,,,,,,
20130516:1410,30102,252.61,48.15,13.93,2.14,0,,,,,,,,,,,
20130516:1510,11082,104.31,40.06,13.96,1.93,0,,,,,,,,,,,
20130516:1610,34714.5,289.69,31.06,13.63,1.86,0,,,,,,,,,,,
20130516:1710,21057,188.72,21.74,13.11,2,0,,,,,,,,,,,
20130516:1810,5524.5,59,12.55,12.33,2.07,0,,,,,,,,,,,
20130516:1910,946.5,17.7,3.82,11.02,2.83,0,,,,,,,,,,,
20130516:2010,0,0,0,9.77,2.83,0,,,,,,,,,,,
20130516:2110,0,0,0,8.55,2.55,0,,,,,,,,,,,
20130516:2210,0,0,0,7.91,2.34,0,,,,,,,,,,,
20130516:2310,0,0,0,7.2,2.34,0,,,,,,,,,,,
20130517:0010,0,0,0,6.75,2.14,0,,,,,,,,,,,
20130517:0110,0,0,0,6.56,2.07,0,,,,,,,,,,,
20130517:0210,0,0,0,6.19,2,0,,,,,,,,,,,
20130517:0310,0,0,0,5.92,1.86,0,,,,,,,,,,,
20130517:0410,0,0,0,5.2,2,0,,,,,,,,,,,
20130517:0510,3174,37.93,8.33,5.13,1.86,0,,,,,,,,,,,
20130517:0610,15052.5,145.54,17.33,6.67,1.93,0,,,,,,,,,,,
20130517:0710,27679.5,229.7,26.63,8.2,2.55,0,,,,,,,,,,,
20130517:0810,22122,186.35,35.86,9.6,3.52,0,,,,,,,,,,,
20130517:0910,42546,342.35,44.5,10.88,4.07,0,,,,,,,,,,,
20130517:1010,8938.5,86.17,51.82,11.41,4,0,,,,,,,,,,,
20130517:1110,17938.5,156.01,56.64,11.77,3.93,0,,,,,,,,,,,
20130517:1210,14848.5,132.42,57.69,11.92,3.66,0,,,,,,,,,,,
20130517:1310,16143,142.4,54.6,11.86,3.38,0,,,,,,,,,,,
20130517:1410,9138,87.98,48.35,11.97,3.45,0,,,,,,,,,,,
20130517:1510,10642.5,99.77,40.24,11.85,3.45,0,,,,,,,,,,,
20130517:1610,9505.5,90.7,31.23,11.47,3.52,0,,,,,,,,,,,
20130517:1710,3199.5,39,21.92,11.24,3.59,0,,,,,,,,,,,
20130517:1810,1789.5,26.13,12.73,10.85,2.9,0,,,,,,,,,,,
20130517:1910,64.5,6.74,4.01,9.92,2.14,0,,,,,,,,,,,
20130517:2010,0,0,0,9.43,2.07,0,,,,,,,,,,,
20130517:2110,0,0,0,8.81,1.66,0,,,,,,,,,,,
20130517:2210,0,0,0,8.2,1.31,0,,,,,,,,,,,
20130517:2310,0,0,0,7.76,1.72,0,,,,,,,,,,,
20130518:0010,0,0,0,7.21,2.14,0,,,,,,,,,,,
20130518:0110,0,0,0,7.62,2.41,0,,,,,,,,,,,
20130518:0210,0,0,0,7.79,2.41,0,,,,,,,,,,,
20130518:0310,0,0,0,7.79,2.21,0,,,,,,,,,,,
20130518:0410,0,0,0,7.83,1.93,0,,,,,,,,,,,
20130518:0510,2181,29.5,8.5,7.92,1.93,0,,,,,,,,,,,
20130518:0610,11653.5,107.74,17.5,8.37,2.21,0,,,,,,,,,,,
20130518:0710,29271,243.03,26.8,8.98,2.62,0,,,,,,,,,,,
20130518:0810,38106,308.06,36.02,10.01,3.24,0,,,,,,,,,,,
20130518:0910,42103.5,339.97,44.68,11.43,3.93,0,,,,,,,,,,,
20130518:1010,41367,336.41,52.01,12.49,3.86,0,,,,,,,,,,,
20130518:1110,32889,272.01,56.85,12.88,3.52,0,,,,,,,,,,,
20130518:1210,13366.5,121.54,57.91,12.9,3.17,0,,,,,,,,,,,
20130518:1310,12639,116.1,54.81,13.28,2.9,0,,,,,,,,,,,
20130518:1410,26875.5,227.07,48.54,13.67,2.34,0,,,,,,,,,,,
20130518:1510,46587,382.31,40.42,13.9,1.86,0,,,,,,,,,,,
20130518:1610,28956,244.47,31.4,13.93,1.72,0,,,,,,,,,,,
20130518:1710,5680.5,60.77,22.09,14.08,0.83,0,,,,,,,,,,,
20130518:1810,2110.5,29.5,12.9,13.86,0.48,0,,,,,,,,,,,
20130518:1910,0,2.53,4.19,13.25,0.97,0,,,,,,,,,,,
20130518:2010,0,0,0,12.45,1.38,0,,,,,,,,,,,
20130518:2110,0,0,0,11.58,1.59,0,,,,,,,,,,,
20130518:2210,0,0,0,11.25,1.72,0,,,,,,,,,,,
20130518:2310,0,0,0,10.69,1.1,0,,,,,,,,,,,
20130519:0010,0,0,0,9.18,1.66,0,,,,,,,,,,,
20130519:0110,0,0,0,7.91,2,0,,,,,,,,,,,
20130519:0210,0,0,0,7.68,2.14,0,,,,,,,,,,,
20130519:0310,0,0,0,7.72,2.07,0,,,,,,,,,,,
20130519:0410,0,0,0,8.26,1.79,0,,,,,,,,,,,
20130519:0510,1813.5,26.13,8.67,8.34,1.79,0,,,,,,,,,,,
20130519:0610,7039.5,70.75,17.65,9.98,1.86,0,,,,,,,,,,,
20130519:0710,21381,183.07,26.95,11.14,2.21,0,,,,,,,,,,,
20130519:0810,35334,290.52,36.18,12.52,2.9,0,,,,,,,,,,,
20130519:0910,40593,332.01,44.85,13.75,3.79,0,,,,,,,,,,,
20130519:1010,39384,324.69,52.2,14.89,3.79,0,,,,,,,,,,,
20130519:1110,85588.5,702.89,57.06,15.54,3.38,0,,,,,,,,,,,
20130519:1210,101655,848.1,58.13,16.02,3.03,0,,,,,,,,,,,
20130519:1310,101530.5,849.54,55.02,16.05,2.69,0,,,,,,,,,,,
20130519:1410,63408,522.03,48.73,16.14,2.41,0,,,,,,,,,,,
20130519:1510,82822.5,685.9,40.6,16.57,2.34,0,,,,,,,,,,,
20130519:1610,43987.5,369.47,31.57,16.07,1.59,0,,,,,,,,,,,
20130519:1710,24244.5,232.03,22.26,16.21,1.72,0,,,,,,,,,,,
20130519:1810,7039.5,72.49,13.07,15.88,1.38,0,,,,,,,,,,,
20130519:1910,1081.5,19.39,4.37,14.9,1.31,0,,,,,,,,,,,
20130519:2010,0,0,0,13.59,0.9,0,,,,,,,,,,,
20130519:2110,0,0,0,12.02,0.69,0,,,,,,,,,,,
20130519:2210,0,0,0,11.84,0.28,0,,,,,,,,,,,
20130519:2310,0,0,0,10.57,0.83,0,,,,,,,,,,,
20130520:0010,0,0,0,9.73,1.72,0,,,,,,,,,,,
20130520:0110,0,0,0,10.02,2.07,0,,,,,,,,,,,
20130520:0210,0,0,0,10.56,2.21,0,,,,,,,,,,,
20130520:0310,0,0,0,10.94,2.55,0,,,,,,,,,,,
20130520:0410,0,0,0,10.97,2.97,0,,,,,,,,,,,
20130520:0510,1356,21.92,8.83,10.97,2.83,0,,,,,,,,,,,
20130520:0610,2592,33.56,17.81,10.87,2.9,0,,,,,,,,,,,
20130520:0710,9397.5,89.79,27.1,11.49,4.41,0,,,,,,,,,,,
20130520:0810,12289.5,112.47,36.34,11.93,5.24,0,,,,,,,,,,,
20130520:0910,14262,127.89,45.02,12.23,4.9,0,,,,,,,,,,,
20130520:1010,10951.5,102.49,52.38,12.84,4.69,0,,,,,,,,,,,
20130520:1110,9870,94.33,57.27,13.69,4.69,0,,,,,,,,,,,
20130520:1210,8140.5,80.72,58.34,14.26,4.9,0,,,,,,,,,,,
20130520:1310,8797.5,86.17,55.22,14.82,5.24,0,,,,,,,,,,,
20130520:1410,12199.5,113.38,48.92,15.39,5.31,0,,,,,,,,,,,
20130520:1510,11467.5,107.93,40.77,16.11,5.17,0,,,,,,,,,,,
20130520:1610,10990.5,104.31,31.74,16.36,4.69,0,,,,,,,,,,,
20130520:1710,4261.5,48.98,22.43,15.73,4.34,0,,,,,,,,,,,
20130520:1810,622.5,14.33,13.24,15.31,4.14,0,,,,,,,,,,,
20130520:1910,0,3.37,4.55,15.43,3.66,0,,,,,,,,,,,
20130520:2010,0,0,0,15.15,3.59,0,,,,,,,,,,,
20130520:2110,0,0,0,15.04,3.72,0,,,,,,,,,,,
20130520:2210,0,0,0,15,4.07,0,,,,,,,,,,,
20130520:2310,0,0,0,14.84,4.07,0,,,,,,,,,,,
20130521:0010,0,0,0,14.56,4.07,0,,,,,,,,,,,
20130521:0110,0,0,0,14.04,4.07,0,,,,,,,,,,,
20130521:0210,0,0,0,13.27,4.21,0,,,,,,,,,,,
20130521:0310,0,0,0,12.32,4.62,0,,,,,,,,,,,
20130521:0410,0,0,0,11.32,4.41,0,,,,,,,,,,,
20130521:0510,2059.5,28.66,8.98,10.7,3.52,0,,,,,,,,,,,
20130521:0610,10228.5,96.52,17.95,10.61,4.14,0,,,,,,,,,,,
20130521:0710,12456,113.38,27.25,10.98,4.55,0,,,,,,,,,,,
20130521:0810,5889,61.68,36.48,11.34,4.48,0,,,,,,,,,,,
20130521:0910,11824.5,108.84,45.18,11.86,5.17,0,,,,,,,,,,,
20130521:1010,6424.5,66.21,52.56,12.13,5.31,0,,,,,,,,,,,
20130521:1110,13317,120.63,57.46,12.29,4.9,0,,,,,,,,,,,
20130521:1210,8547,83.45,58.54,12.65,4.83,0,,,,,,,,,,,
20130521:1310,11632.5,107.93,55.42,13.08,4.62,0,,,,,,,,,,,
20130521:1410,13345.5,121.54,49.1,13.67,4.97,0,,,,,,,,,,,
20130521:1510,12286.5,113.38,40.94,13.89,5.03,0,,,,,,,,,,,
20130521:1610,6918,70.75,31.91,13.99,5.1,0,,,,,,,,,,,
20130521:1710,16564.5,147.99,22.59,13.68,4.14,0,,,,,,,,,,,
20130521:1810,8287.5,81.76,13.41,13.53,3.31,0,,,,,,,,,,,
20130521:1910,1341,21.92,4.72,12.86,2.55,0,,,,,,,,,,,
20130521:2010,0,0,0,12.3,2,0,,,,,,,,,,,
20130521:2110,0,0,0,11.77,1.93,0,,,,,,,,,,,
20130521:2210,0,0,0,11.37,2.14,0,,,,,,,,,,,
20130521:2310,0,0,0,10.94,2.14,0,,,,,,,,,,,
20130522:0010,0,0,0,10.58,2.14,0,,,,,,,,,,,
20130522:0110,0,0,0,10.3,2.21,0,,,,,,,,,,,
20130522:0210,0,0,0,10.01,2.28,0,,,,,,,,,,,
20130522:0310,0,0,0,9.75,2.28,0,,,,,,,,,,,
20130522:0410,0,0,0,9.56,2,0,,,,,,,,,,,
20130522:0510,874.5,16.86,9.13,9.49,1.45,0,,,,,,,,,,,
20130522:0610,4062,46.26,18.09,9.83,1.52,0,,,,,,,,,,,
20130522:0710,5370,57.14,27.39,9.73,1.79,0,,,,,,,,,,,
20130522:0810,10591.5,98.86,36.63,10.15,1.93,0,,,,,,,,,,,
20130522:0910,10104,95.24,45.33,10.84,2.62,0,,,,,,,,,,,
20130522:1010,16650,146.03,52.73,11.28,3.03,0,,,,,,,,,,,
20130522:1110,13918.5,125.17,57.65,11.78,3.66,0,,,,,,,,,,,
20130522:1210,12019.5,110.66,58.74,12.33,4.21,0,,,,,,,,,,,
20130522:1310,14566.5,130.61,55.61,12.84,4.62,0,,,,,,,,,,,
20130522:1410,11622,107.93,49.28,13.24,4.48,0,,,,,,,,,,,
20130522:1510,19339.5,167.8,41.11,13.64,5.03,0,,,,,,,,,,,
20130522:1610,18043.5,157.86,32.07,13.54,4.62,0,,,,,,,,,,,
20130522:1710,18939,167.67,22.75,13.79,5.03,0,,,,,,,,,,,
20130522:1810,8124,80.08,13.57,12.7,5.45,0,,,,,,,,,,,
20130522:1910,1182,20.23,4.89,12,4.41,0,,,,,,,,,,,
20130522:2010,0,0,0,11.22,4.41,0,,,,,,,,,,,
20130522:2110,0,0,0,10.22,4.69,0,,,,,,,,,,,
20130522:2210,0,0,0,9.15,4.97,0,,,,,,,,,,,
20130522:2310,0,0,0,8.07,4.97,0,,,,,,,,,,,
20130523:0010,0,0,0,7.33,5.03,0,,,,,,,,,,,
20130523:0110,0,0,0,6.83,4.97,0,,,,,,,,,,,
20130523:0210,0,0,0,6.42,4.62,0,,,,,,,,,,,
20130523:0310,0,0,0,6,4.41,0,,,,,,,,,,,
20130523:0410,0,0,0,5.85,4.69,0,,,,,,,,,,,
20130523:0510,2586,32.87,9.27,5.84,5.17,0,,,,,,,,,,,
20130523:0610,12421.5,112.14,18.23,6.07,5.79,0,,,,,,,,,,,
20130523:0710,31558.5,256.63,27.52,6.62,5.03,0,,,,,,,,,,,
20130523:0810,50088,393.81,36.76,7.69,4.69,0,,,,,,,,,,,
20130523:0910,36003,289.49,45.48,8.81,4.69,0,,,,,,,,,,,
20130523:1010,15265.5,134.24,52.9,9.79,4.97,0,,,,,,,,,,,
20130523:1110,71101.5,561.59,57.84,10.23,5.03,0,,,,,,,,,,,
20130523:1210,62074.5,492.3,58.94,10.55,4.83,0,,,,,,,,,,,
20130523:1310,15082.5,133.33,55.8,10.55,4.48,0,,,,,,,,,,,
20130523:1410,37024.5,299.9,49.45,10.45,4.14,0,,,,,,,,,,,
20130523:1510,55257,439.18,41.27,10.3,3.93,0,,,,,,,,,,,
20130523:1610,12829.5,116.1,32.22,10.43,3.66,0,,,,,,,,,,,
20130523:1710,14974.5,132.77,22.91,9.69,3.38,0,,,,,,,,,,,
20130523:1810,7135.5,71.4,13.74,9,2.83,0,,,,,,,,,,,
20130523:1910,0,3.37,5.06,7.36,2.48,0,,,,,,,,,,,
20130523:2010,0,0,0,6.76,1.79,0,,,,,,,,,,,
20130523:2110,0,0,0,6.39,1.72,0,,,,,,,,,,,
20130523:2210,0,0,0,6.15,1.72,0,,,,,,,,,,,
20130523:2310,0,0,0,5.62,2.28,0,,,,,,,,,,,
20130524:0010,0,0,0,5.61,2.97,0,,,,,,,,,,,
20130524:0110,0,0,0,5.41,3.52,0,,,,,,,,,,,
20130524:0210,0,0,0,5.17,3.66,0,,,,,,,,,,,
20130524:0310,0,0,0,5.08,3.59,0,,,,,,,,,,,
20130524:0410,0,0,0,5.05,3.59,0,,,,,,,,,,,
20130524:0510,1228.5,20.23,9.4,5.32,3.72,0,,,,,,,,,,,
20130524:0610,7426.5,72.56,18.36,5.9,3.79,0,,,,,,,,,,,
20130524:0710,9090,85.26,27.65,5.46,4.97,0,,,,,,,,,,,
20130524:0810,33024,263.83,36.89,6.41,5.52,0,,,,,,,,,,,
20130524:0910,9355.5,87.98,45.62,7.48,5.17,0,,,,,,,,,,,
20130524:1010,8187,78.91,53.05,7.45,4.9,0,,,,,,,,,,,
20130524:1110,12672,113.38,58.02,7.45,4.76,0,,,,,,,,,,,
20130524:1210,16338,141.49,59.13,8.16,4.48,0,,,,,,,,,,,
20130524:1310,12690,114.28,55.98,8.91,3.86,0,,,,,,,,,,,
20130524:1410,23224.5,195.91,49.62,10.34,2.28,0,,,,,,,,,,,
20130524:1510,32866.5,269.99,41.43,10.34,1.86,0,,,,,,,,,,,
20130524:1610,11355,104.31,32.38,9.74,4.9,0,,,,,,,,,,,
20130524:1710,9076.5,86.17,23.06,8.53,5.66,0,,,,,,,,,,,
20130524:1810,3150,38.09,13.89,8.11,5.45,0,,,,,,,,,,,
20130524:1910,1827,26.13,5.22,7.22,5.66,0,,,,,,,,,,,
20130524:2010,0,0,0,6.52,5.1,0,,,,,,,,,,,
20130524:2110,0,0,0,6.01,4.62,0,,,,,,,,,,,
20130524:2210,0,0,0,5.9,4.34,0,,,,,,,,,,,
20130524:2310,0,0,0,5.97,4.21,0,,,,,,,,,,,
20130525:0010,0,0,0,6.06,4.07,0,,,,,,,,,,,
20130525:0110,0,0,0,6.03,3.86,0,,,,,,,,,,,
20130525:0210,0,0,0,5.88,3.52,0,,,,,,,,,,,
20130525:0310,0,0,0,5.77,3.45,0,,,,,,,,,,,
20130525:0410,0,0,0,5.29,3.38,0,,,,,,,,,,,
20130525:0510,2119.5,28.66,9.53,5.48,3.45,0,,,,,,,,,,,
20130525:0610,16074,148.16,18.48,6.33,3.31,0,,,,,,,,,,,
20130525:0710,38031,310.14,27.77,7.75,4.69,0,,,,,,,,,,,
20130525:0810,63667.5,501.01,37.02,8.85,4.34,0,,,,,,,,,,,
20130525:0910,88005,696.7,45.75,9.89,4.07,0,,,,,,,,,,,
20130525:1010,84087,669.62,53.21,10.65,4,0,,,,,,,,,,,
20130525:1110,93865.5,754.17,58.19,11.4,4,0,,,,,,,,,,,
20130525:1210,85018.5,682.98,59.31,12.1,4.07,0,,,,,,,,,,,
20130525:1310,64243.5,515.59,56.16,12.72,4.21,0,,,,,,,,,,,
20130525:1410,70239,564.2,49.79,13.28,4.14,0,,,,,,,,,,,
20130525:1510,64458,518.53,41.59,13.48,3.93,0,,,,,,,,,,,
20130525:1610,51030,418.17,32.53,13.68,3.86,0,,,,,,,,,,,
20130525:1710,25449,244.53,23.21,13.84,3.66,0,,,,,,,,,,,
20130525:1810,3256.5,41.48,14.05,13.51,2.62,0,,,,,,,,,,,
20130525:1910,1431,22.76,5.38,12.14,1.86,0,,,,,,,,,,,
20130525:2010,0,0,0,10.79,1.66,0,,,,,,,,,,,
20130525:2110,0,0,0,8.94,1.59,0,,,,,,,,,,,
20130525:2210,0,0,0,7.3,1.72,0,,,,,,,,,,,
20130525:2310,0,0,0,6.32,1.86,0,,,,,,,,,,,
20130526:0010,0,0,0,5.7,2.14,0,,,,,,,,,,,
20130526:0110,0,0,0,5.53,2.34,0,,,,,,,,,,,
20130526:0210,0,0,0,5.66,2.48,0,,,,,,,,,,,
20130526:0310,0,0,0,6.08,2.55,0,,,,,,,,,,,
20130526:0410,0,0,0,5.89,2.62,0,,,,,,,,,,,
20130526:0510,4971,53.1,9.66,6.26,2.76,0,,,,,,,,,,,
20130526:0610,14436,156.6,18.6,7.56,2.76,0,,,,,,,,,,,
20130526:0710,44661,371.36,27.88,9.11,3.31,0,,,,,,,,,,,
20130526:0810,73288.5,584.83,37.14,10.84,3.45,0,,,,,,,,,,,
20130526:0910,85314,687.07,45.88,12.34,3.31,0,,,,,,,,,,,
20130526:1010,102649.5,842.93,53.35,13.8,3.24,0,,,,,,,,,,,
20130526:1110,118126.5,988.93,58.35,14.94,3.24,0,,,,,,,,,,,
20130526:1210,124497,1054.86,59.49,15.81,3.1,0,,,,,,,,,,,
20130526:1310,116707.5,985.8,56.33,16.43,2.97,0,,,,,,,,,,,
20130526:1410,105292.5,880.79,49.95,16.89,2.9,0,,,,,,,,,,,
20130526:1510,83118,686.15,41.74,17.11,2.97,0,,,,,,,,,,,
20130526:1610,55249.5,462.26,32.68,17.05,3.1,0,,,,,,,,,,,
20130526:1710,25252.5,246.54,23.36,16.71,3.03,0,,,,,,,,,,,
20130526:1810,4992,57.09,14.2,16.16,2.34,0,,,,,,,,,,,
20130526:1910,1920,27.82,5.54,15.16,1.66,0,,,,,,,,,,,
20130526:2010,0,0,0,13.29,2.14,0,,,,,,,,,,,
20130526:2110,0,0,0,11.56,2.55,0,,,,,,,,,,,
20130526:2210,0,0,0,10.52,2.9,0,,,,,,,,,,,
20130526:2310,0,0,0,9.62,2.9,0,,,,,,,,,,,
20130527:0010,0,0,0,8.73,2.62,0,,,,,,,,,,,
20130527:0110,0,0,0,7.77,2.41,0,,,,,,,,,,,
20130527:0210,0,0,0,6.83,2.21,0,,,,,,,,,,,
20130527:0310,0,0,0,6.01,2.21,0,,,,,,,,,,,
20130527:0410,0,0,0,5.38,2.34,0,,,,,,,,,,,
20130527:0510,4675.5,50.58,9.77,5.61,2.14,0,,,,,,,,,,,
20130527:0610,14047.5,156.25,18.71,7.46,2.07,0,,,,,,,,,,,
20130527:0710,45132,377.37,27.99,9.44,2.83,0,,,,,,,,,,,
20130527:0810,75625.5,603.82,37.25,11.12,3.59,0,,,,,,,,,,,
20130527:0910,100096.5,804.04,46,12.47,4.21,0,,,,,,,,,,,
20130527:1010,100203,805.96,53.49,13.75,5.52,0,,,,,,,,,,,
20130527:1110,102130.5,823.87,58.51,14.63,6.21,0,,,,,,,,,,,
20130527:1210,123172.5,1003.25,59.66,14.82,6.28,0,,,,,,,,,,,
20130527:1310,110496,895.71,56.5,15.12,6.14,0,,,,,,,,,,,
20130527:1410,108156,871.91,50.1,15.36,6.34,0,,,,,,,,,,,
20130527:1510,82932,664.79,41.89,15.24,6.07,0,,,,,,,,,,,
20130527:1610,56160,460.57,32.82,15.26,5.66,0,,,,,,,,,,,
20130527:1710,25836,243.29,23.5,14.84,4.97,0,,,,,,,,,,,
20130527:1810,3240,42.64,14.34,14.16,4.07,0,,,,,,,,,,,
20130527:1910,1678.5,25.29,5.69,13.36,3.03,0,,,,,,,,,,,
20130527:2010,0,0,0,11.93,2.76,0,,,,,,,,,,,
20130527:2110,0,0,0,10.97,2.62,0,,,,,,,,,,,
20130527:2210,0,0,0,10.55,2.55,0,,,,,,,,,,,
20130527:2310,0,0,0,10.55,2.83,0,,,,,,,,,,,
20130528:0010,0,0,0,10.64,3.1,0,,,,,,,,,,,
20130528:0110,0,0,0,11.11,3.17,0,,,,,,,,,,,
20130528:0210,0,0,0,11.23,2.76,0,,,,,,,,,,,
20130528:0310,0,0,0,10.99,2.41,0,,,,,,,,,,,
20130528:0410,0,0,0,10.28,2.21,0,,,,,,,,,,,
20130528:0510,949.5,17.7,9.89,10.31,2.14,0,,,,,,,,,,,
20130528:0610,2595,33.56,18.82,10.63,2.28,0,,,,,,,,,,,
20130528:0710,5343,57.14,28.1,10.83,2.28,0,,,,,,,,,,,
20130528:0810,18658.5,161.45,37.36,11.01,2.34,0,,,,,,,,,,,
20130528:0910,10309.5,97.05,46.12,11.46,3.1,0,,,,,,,,,,,
20130528:1010,12991.5,117.91,53.62,11.31,2.76,0,,,,,,,,,,,
20130528:1110,12288,112.47,58.67,11.54,3.38,0,,,,,,,,,,,
20130528:1210,9255,88.89,59.82,11.89,3.31,0,,,,,,,,,,,
20130528:1310,15057,134.24,56.66,11.99,2.76,0,,,,,,,,,,,
20130528:1410,20313,175.05,50.26,11.96,1.86,0,,,,,,,,,,,
20130528:1510,15232.5,136.05,42.03,12.24,1.52,0,,,,,,,,,,,
20130528:1610,8907,86.17,32.96,11.73,2.28,0,,,,,,,,,,,
20130528:1710,12591,114.89,23.64,11.24,2.69,0,,,,,,,,,,,
20130528:1810,8538,83.19,14.49,11.13,2.69,0,,,,,,,,,,,
20130528:1910,1789.5,26.13,5.84,10.84,2.76,0,,,,,,,,,,,
20130528:2010,0,0,0,10.25,2.21,0,,,,,,,,,,,
20130528:2110,0,0,0,9.74,1.72,0,,,,,,,,,,,
20130528:2210,0,0,0,9.34,1.66,0,,,,,,,,,,,
